district,id,pop,dist_to_cl
GULU,"121441","21",1513.306763809651557
NWOYA,"178146","1",95391.841249831981258
AGAGO,"72985","33",109851.301076374395052
AMURU,"12161","11",81681.321356201951858
AMURU,"29688","11",66598.860251851700014
LAMWO,"10100","6",81308.492002134982613
AGAGO,"146196","27",88404.780027357875952
KITGUM,"58566","10",114282.319951707351720
NWOYA,"177131","3",43132.539825765881687
AMURU,"96714","42",26042.024678674293682
GULU,"115275","15",5256.099167296530140
AGAGO,"67850","7",134385.913594652840402
AMURU,"7021","11",91145.695806011819514
NWOYA,"171981","1",57639.143001168878982
NWOYA,"175075","1",57212.967898330432945
NWOYA,"173013","3",42959.437543243788241
PADER,"94658","15",73917.194084940041648
AMURU,"58574","11",57550.466940039397741
AGAGO,"98785","6",125158.635914059879724
PADER,"109097","13",87692.727020721271401
GULU,"134873","21",3585.575696692327256
AGAGO,"56520","7",135624.262179652549094
NWOYA,"174055","3",47270.709352703292097
AGAGO,"75080","7",129957.904913478865637
GULU,"127661","23",899.930618041365051
AGAGO,"110135","6",131945.011985200719209
NWOYA,"176119","3",39593.344648628837604
NWOYA,"136941","3",46572.691042961254425
LAMWO,"10130","8",97751.903740617504809
AMURU,"116324","10",47496.550286397643504
KITGUM,"35906","6",96909.724906507777632
GULU,"97770","3",23204.235173233355454
AMURU,"63749","11",52148.859836113355414
AMURU,"99836","10",48544.047384830075316
AMURU,"99838","10",44530.729325837572105
PADER,"95715","15",73755.328363342458033
LAMWO,"20453","8",97289.701168089042767
KITGUM,"53448","8",85446.547666183178080
AGAGO,"78194","7",126751.516246553568635
AGAGO,"150369","26",113672.841849691918469
KITGUM,"42114","8",89417.388678698189324
AGAGO,"108101","6",132418.664254960021935
